Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity Suite,Chrome 118.0.0.0,,,2023-10-18 02:19:08,2023-10-18 02:19:16,8.642s,PASSED
,,,,,,,
Test Cases/Voting Feature/Sanity TC - Validate Voting page availability for users,Chrome 118.0.0.0,,,2023-10-18 02:19:08,2023-10-18 02:19:16,8.382s,PASSED
Start listener action : enableSauceLabs,Chrome 118.0.0.0,,,2023-10-18 02:19:08,2023-10-18 02:19:08,0.020s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-18 02:19:08,2023-10-18 02:19:10,2.156s,PASSED
"navigateToUrl(""https://www.squishable.com/category/voting_category.html"")",Chrome 118.0.0.0,,,2023-10-18 02:19:10,2023-10-18 02:19:14,3.595s,PASSED
"click(findTestObject(""Object Repository/Page_Squishable Vote/img""))",Chrome 118.0.0.0,,,2023-10-18 02:19:14,2023-10-18 02:19:15,0.876s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Squishable Vote/img""), 0)",Chrome 118.0.0.0,,,2023-10-18 02:19:15,2023-10-18 02:19:15,0.344s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Squishable Vote/a_SCORE Squishable Trash Banditby Katy BVie_0c136d""), 0)",Chrome 118.0.0.0,,,2023-10-18 02:19:15,2023-10-18 02:19:15,0.410s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-18 02:19:15,2023-10-18 02:19:16,0.654s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 118.0.0.0,,,2023-10-18 02:19:16,2023-10-18 02:19:16,0.001s,PASSED
